Country,Competition,Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SJH,SJD,SJA,VCH,VCD,VCA,WHH,WHD,WHA
Netherlands,Eredivisie,2016-2017,N1,2016-02-10,Ajax,Utrecht,3,2,H,1.33,5.0,8.5,,,,1.33,5.0,7.75,,,,1.27,5.0,9.0,1.35,5.0,9.0,,,,1.33,5.4,8.5,1.33,4.8,7.5
Netherlands,Eredivisie,2016-2017,N1,2016-02-10,Heracles,Twente,1,1,D,2.05,3.4,3.5,,,,2.05,3.3,3.4,,,,2.0,3.4,3.3,2.05,3.5,3.4,,,,2.05,3.6,3.5,2.0,3.6,3.2
Netherlands,Eredivisie,2016-2017,N1,2016-02-10,Sparta Rotterdam,AZ Alkmaar,1,1,D,3.0,3.5,2.25,,,,3.2,3.4,2.1,,,,3.2,3.5,2.0,3.0,3.6,2.2,,,,3.1,3.6,2.25,3.1,3.6,2.05
Netherlands,Eredivisie,2016-2017,N1,2016-02-10,Willem II,Feyenoord,0,2,A,6.0,4.33,1.5,,,,5.5,4.1,1.53,,,,5.0,4.0,1.5,5.75,4.2,1.55,,,,5.75,4.4,1.55,5.0,4.2,1.53
Netherlands,Eredivisie,2016-2017,N1,2016-10-15,AZ Alkmaar,Vitesse,2,2,D,1.95,3.5,3.8,,,,1.95,3.5,3.5,,,,1.9,3.5,3.5,1.95,3.6,3.6,,,,1.95,3.75,3.7,2.0,3.5,3.3
Netherlands,Eredivisie,2016-2017,N1,2016-10-15,Groningen,Heerenveen,0,3,A,2.5,3.4,2.7,,,,2.45,3.3,2.7,,,,2.3,3.4,2.75,2.5,3.25,2.75,,,,2.6,3.4,2.7,2.4,3.4,2.62
Netherlands,Eredivisie,2016-2017,N1,2016-10-15,PSV Eindhoven,Heracles,1,1,D,1.18,7.0,13.0,,,,1.17,6.75,13.5,,,,1.17,6.0,13.0,1.2,7.0,15.0,,,,1.18,7.5,15.0,1.17,6.5,13.0
Netherlands,Eredivisie,2016-2017,N1,2016-10-15,Sparta Rotterdam,Willem II,2,2,D,2.05,3.5,3.4,,,,2.0,3.3,3.6,,,,2.0,3.4,3.2,2.1,3.4,3.4,,,,2.1,3.5,3.5,2.05,3.4,3.25
Netherlands,Eredivisie,2016-2017,N1,2016-10-15,Utrecht,Go Ahead Eagles,3,0,H,1.44,4.33,7.0,,,,1.42,4.4,6.75,,,,1.45,3.9,6.5,1.4,4.75,7.5,,,,1.4,5.0,7.5,1.4,4.5,6.5
Netherlands,Eredivisie,2016-2017,N1,2016-10-16,Den Haag,Ajax,0,2,A,7.5,4.1,1.45,,,,6.25,4.25,1.45,,,,5.5,4.0,1.5,6.0,4.33,1.48,,,,6.5,4.6,1.45,5.5,4.2,1.5
Netherlands,Eredivisie,2016-2017,N1,2016-10-16,Excelsior,Roda,0,1,A,2.2,3.4,3.2,,,,2.2,3.25,3.1,,,,2.2,3.4,2.9,2.25,3.3,3.1,,,,2.3,3.4,3.13,2.2,3.3,3.0
Netherlands,Eredivisie,2016-2017,N1,2016-10-16,Nijmegen,Feyenoord,1,2,A,7.0,4.75,1.4,,,,6.75,4.6,1.4,,,,7.0,4.1,1.4,6.5,4.5,1.44,,,,7.0,4.6,1.45,6.0,4.33,1.44
Netherlands,Eredivisie,2016-2017,N1,2016-10-16,Twente,Zwolle,2,2,D,2.0,3.6,3.5,,,,1.95,3.5,3.6,,,,1.9,3.4,3.6,2.0,3.6,3.5,,,,2.05,3.75,3.4,2.0,3.6,3.2
Netherlands,Eredivisie,2016-2017,N1,2016-10-21,Excelsior,Zwolle,0,2,A,2.38,3.25,3.0,,,,2.35,3.4,2.8,,,,2.5,3.2,2.6,2.38,3.4,2.8,,,,2.38,3.6,2.88,2.5,3.3,2.6
Netherlands,Eredivisie,2016-2017,N1,2016-10-22,Go Ahead Eagles,Twente,0,2,A,3.0,3.4,2.3,,,,2.95,3.5,2.2,,,,2.9,3.4,2.2,2.9,3.5,2.3,,,,3.0,3.6,2.3,2.7,3.5,2.3
Netherlands,Eredivisie,2016-2017,N1,2016-10-22,PSV Eindhoven,Sparta Rotterdam,1,0,H,1.17,7.0,15.0,,,,1.18,6.75,12.5,,,,1.2,6.0,11.0,1.17,8.0,17.0,,,,1.15,8.0,18.0,1.12,7.5,15.0
Netherlands,Eredivisie,2016-2017,N1,2016-10-22,Roda,Den Haag,1,1,D,2.45,3.5,2.7,,,,2.4,3.4,2.7,,,,2.3,3.4,2.75,2.5,3.4,2.75,,,,2.5,3.5,2.75,2.45,3.3,2.62
Netherlands,Eredivisie,2016-2017,N1,2016-10-22,Willem II,Utrecht,0,1,A,2.7,3.4,2.5,,,,2.55,3.3,2.6,,,,2.4,3.4,2.65,2.8,3.25,2.5,,,,2.75,3.4,2.55,2.5,3.25,2.6
Netherlands,Eredivisie,2016-2017,N1,2016-10-23,Feyenoord,Ajax,1,1,D,2.3,3.5,2.88,,,,2.4,3.6,3.0,,,,2.2,3.3,3.0,2.3,3.3,3.0,,,,2.3,3.5,3.0,2.25,3.4,2.88
Netherlands,Eredivisie,2016-2017,N1,2016-10-23,Groningen,AZ Alkmaar,2,0,H,3.4,3.6,2.05,,,,3.3,3.6,2.0,,,,3.0,3.5,2.1,3.3,3.6,2.05,,,,3.3,3.8,2.05,3.2,3.6,2.0
